Timestamp,¿Quién decide habitualmente qué se come en tu hogar?,Pensando en la última semana: ¿cómo se decidió qué comer cada día en tu hogar?,"En el último mes, ¿con qué frecuencia te pasó de llegar a la hora de cocinar sin saber qué preparar?",¿Con qué frecuencia sientes que en tu hogar se repiten siempre las mismas comidas?,¿Qué usas hoy para organizar las comidas o las compras de tu hogar?,"Si usas una app específica de comidas o listas, ¿cuál?","En el último mes, ¿usaste ChatGPT u otra IA para pedir ideas de comidas o armar un menú?","¿Alguna vez descargaste una app para planificar comidas, recetas o listas de compras? ¿Qué pasó con ella?",¿Con qué frecuencia se compran alimentos en tu hogar?,¿Dónde se compran los alimentos de tu hogar?,"Antes de ir a comprar, ¿qué haces normalmente?","¿Qué es lo más difícil de resolver las comidas de tu hogar, semana a semana?",¿Quiénes viven en tu hogar?,¿En qué país vives?
7/27/2026 13:48:52,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Con frecuencia,"Planilla (Excel, Google Sheets)",,"No, nunca lo usé para eso",Nunca descargué una,Una vez por semana,"Supermercado, Mayorista, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",la creatividad,Con hijos en edad escolar,Argentina
7/27/2026 13:50:10,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 13:52:07,"Yo, compartido con otra persona","Se decidió en el momento, cada día (viendo qué había)",Casi todos los días,Casi siempre,Solo la memoria,,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Casi todos los días,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Mercado o feria",No llevo lista: decido en el lugar,comer sano,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 13:55:20,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Casi siempre,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"No, nunca lo usé para eso",Nunca descargué una,Casi todos los días,"Supermercado, Verdulería, carnicería u otros comercios especializados, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista",Como variar las comidas para que sean nutritivas sin tener que dedicarle mucho tiempo a pensar y cocinar,"Con mi pareja, Con hijos en edad escolar, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 13:55:44,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Solo la memoria",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Dos o tres veces por semana,"Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 13:55:56,Principalmente yo,Había un plan para varios días de la semana,Casi todos los días,A veces,"Notas del celular, Viandas semanales y pedidos ocasionalmente.",Google Keep,"No, nunca lo usé para eso",Nunca descargué una,Sin un patrón fijo,"Supermercado, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista","Las ganas de cocinar principalmente, seguidas del tiempo aunque eso es solucionable con planificación.","Vivo solo/a, Con hijos en edad escolar",Uruguay
7/27/2026 13:58:05,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 14:14:38,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"No, nunca lo usé para eso",La usé un tiempo y la dejé,Dos o tres veces por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",La planificación y encontrar menúes aceptados por todos los integrantes de la familia,Con mi pareja,Argentina
7/27/2026 14:52:23,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,A veces,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Una vez por semana,Supermercado,Compro cuando me doy cuenta de que algo faltó,Saber que cocinar cada día para no repetir comidas,Con hijos en edad escolar,Argentina
7/27/2026 14:57:17,"Yo, compartido con otra persona",Había un plan para varios días de la semana,1 o 2 veces en el mes,Con frecuencia,"Mensajes de WhatsApp (a mí mismo/a o al grupo familiar), Solo la memoria",,"Lo probé alguna vez, pero no seguí",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Pensar menus distintos a los de siempre. Caemos seguido en lo mismo por practicidad y comodidad. Creo que si tenria en mente otras opciones podría variar eso ,Con mi pareja,Argentina
7/27/2026 15:21:10,Principalmente yo,Se decidió el día anterior,Nunca,A veces,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Solo la memoria",,"No, nunca lo usé para eso",Nunca descargué una,Casi todos los días,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista",La variedad,"Con mi pareja, Con hijos universitarios o jóvenes adultos",Argentina
7/27/2026 15:46:04,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 16:11:41,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",1 o 2 veces en el mes,A veces,"Lista en papel (cuaderno, imán en el refrigerador)", No,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Olvidaese un ingrediente....todo quwda a 10 km,Con hijos universitarios o jóvenes adultos,Argentina
7/27/2026 16:13:47,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Casi siempre,"Lista en papel (cuaderno, imán en el refrigerador)",,"No, nunca lo usé para eso",Nunca descargué una,Casi todos los días,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista","Que alcance para tres, Estamos en Venezuela","Con mi pareja, Con hijos universitarios o jóvenes adultos",Venezuela
7/27/2026 16:32:07,"Yo, compartido con otra persona","Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Argentina
7/27/2026 16:39:16,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,Con frecuencia,Notas del celular,,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Casi todos los días,"Supermercado, Online (app o web del supermercado, Rappi, PedidosYa u otras)",Compro cuando me doy cuenta de que algo faltó,,Con hijos en edad escolar,Argentina
7/27/2026 17:26:51,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Rara vez,Solo la memoria,,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Mercado o feria","Reviso qué hay y qué falta en casa, y armo una lista","Picar los aliños , es lo mas fastidioso  ",Vivo solo/a,Venezuela
7/27/2026 19:07:02,Principalmente yo,"Se decidió el mismo día, unas horas antes",Varias veces por semana,A veces,Mensajes de WhatsApp (a mí mismo/a o al grupo familiar),,"No, nunca lo usé para eso",Nunca descargué una,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Reviso qué hay y qué falta en casa, y armo una lista",,"Con mi pareja, Con hijos en edad escolar",Argentina
7/27/2026 19:28:30,Otra persona (yo casi no participo),,,,,,,,,,,,,
7/27/2026 22:26:12,Principalmente yo,"Se decidió el mismo día, unas horas antes",Aproximadamente una vez por semana,Con frecuencia,Solo la memoria,,"Sí, algunas veces en el mes",Nunca descargué una,Una vez por semana,"Supermercado, Tienda de barrio / almacén / minimarket","Llevo una lista de lo de siempre, sin revisar mucho",decidir que cocinar,Con hijos universitarios o jóvenes adultos,Argentina
7/28/2026 8:02:15,"Yo, compartido con otra persona",Se decidió el día anterior,Nunca,A veces,"Lista en papel (cuaderno, imán en el refrigerador)",,"No, nunca lo usé para eso",La probé unos días y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",Cuánto tiempo es el que tengo para cocinar.,Con mi pareja,Argentina
7/28/2026 10:23:29,"Yo, compartido con otra persona",Se decidió el día anterior,Aproximadamente una vez por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Planilla (Excel, Google Sheets)",,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Una compra grande (quincenal o mensual) más compras chicas cuando falta algo,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados","Reviso qué hay y qué falta en casa, y armo una lista",,Con mi pareja,Colombia
7/28/2026 10:24:17,Principalmente yo,"Se decidió en el momento, cada día (viendo qué había)",Varias veces por semana,Con frecuencia,"Lista en papel (cuaderno, imán en el refrigerador), Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"No, nunca lo usé para eso",Nunca descargué una,Dos o tres veces por semana,"Supermercado, Tienda de barrio / almacén / minimarket, Verdulería, carnicería u otros comercios especializados, Online (app o web del supermercado, Rappi, PedidosYa u otras)","Llevo una lista de lo de siempre, sin revisar mucho",,Con hijos en edad escolar,Argentina
7/28/2026 11:47:48,Principalmente yo,Se decidió el día anterior,Aproximadamente una vez por semana,Con frecuencia,"Notas del celular, Mensajes de WhatsApp (a mí mismo/a o al grupo familiar)",,"Lo probé alguna vez, pero no seguí",La probé unos días y la dejé,Dos o tres veces por semana,Supermercado,"Reviso qué hay y qué falta en casa, y armo una lista","que sean balanceadas, que no cansen y que respeten la cantidad de proteína necesaria.",Con mi pareja,España
